reference,year,country,billionaires
2016Australia,2016,Australia,6
2016Austria,2016,Austria,2
2016Belgium,2016,Belgium,1
2016Brazil,2016,Brazil,9
2016Canada,2016,Canada,9
2016Chile,2016,Chile,3
2016China,2016,China,50
2016Colombia,2016,Colombia,1
2016Cyprus,2016,Cyprus,1
2016Czech Republic,2016,Czech Republic,2
2016Denmark,2016,Denmark,6
2016Egypt,2016,Egypt,1
2016France,2016,France,17
2016Georgia,2016,Georgia,1
2016Germany,2016,Germany,39
2016Hong Kong,2016,Hong Kong,22
2016India,2016,India,26
2016Indonesia,2016,Indonesia,3
2016Ireland,2016,Ireland,3
2016Israel,2016,Israel,3
2016Italy,2016,Italy,8
2016Japan,2016,Japan,8
2016Malaysia,2016,Malaysia,6
2016Mexico,2016,Mexico,8
2016Netherlands,2016,Netherlands,2
2016New Zealand,2016,New Zealand,1
2016Nigeria,2016,Nigeria,2
2016Norway,2016,Norway,2
2016Philippines,2016,Philippines,4
2016Portugal,2016,Portugal,1
2016Russia,2016,Russia,27
2016Singapore,2016,Singapore,4
2016South Africa,2016,South Africa,2
2016South Korea,2016,South Korea,8
2016Spain,2016,Spain,4
2016Sweden,2016,Sweden,11
2016Switzerland,2016,Switzerland,10
2016Taiwan,2016,Taiwan,3
2016Thailand,2016,Thailand,3
2016Turkey,2016,Turkey,1
2016Ukraine,2016,Ukraine,1
2016United Arab Emirates,2016,United Arab Emirates,2
2016United Kingdom,2016,United Kingdom,18
2016United States,2016,United States,158
2016Venezuela,2016,Venezuela,1
2017Australia,2017,Australia,6
2017Austria,2017,Austria,2
2017Belgium,2017,Belgium,1
2017Brazil,2017,Brazil,9
2017Canada,2017,Canada,10
2017Chile,2017,Chile,2
2017China,2017,China,40
2017Colombia,2017,Colombia,1
2017Cyprus,2017,Cyprus,1
2017Czech Republic,2017,Czech Republic,1
2017Denmark,2017,Denmark,3
2017Egypt,2017,Egypt,2
2017France,2017,France,16
2017Georgia,2017,Georgia,1
2017Germany,2017,Germany,34
2017Hong Kong,2017,Hong Kong,21
2017India,2017,India,21
2017Indonesia,2017,Indonesia,4
2017Ireland,2017,Ireland,3
2017Israel,2017,Israel,4
2017Italy,2017,Italy,9
2017Japan,2017,Japan,6
2017Malaysia,2017,Malaysia,5
2017Mexico,2017,Mexico,7
2017Netherlands,2017,Netherlands,2
2017New Zealand,2017,New Zealand,1
2017Nigeria,2017,Nigeria,2
2017Norway,2017,Norway,1
2017Oman,2017,Oman,1
2017Philippines,2017,Philippines,2
2017Portugal,2017,Portugal,1
2017Russia,2017,Russia,28
2017Saudi Arabia,2017,Saudi Arabia,3
2017Singapore,2017,Singapore,5
2017South Africa,2017,South Africa,3
2017South Korea,2017,South Korea,6
2017Spain,2017,Spain,3
2017Swaziland,2017,Swaziland,1
2017Sweden,2017,Sweden,11
2017Switzerland,2017,Switzerland,11
2017Taiwan,2017,Taiwan,6
2017Thailand,2017,Thailand,4
2017Ukraine,2017,Ukraine,1
2017United Arab Emirates,2017,United Arab Emirates,3
2017United Kingdom,2017,United Kingdom,13
2017United States,2017,United States,183
2018Australia,2018,Australia,6
2018Austria,2018,Austria,2
2018Belgium,2018,Belgium,1
2018Brazil,2018,Brazil,9
2018Canada,2018,Canada,9
2018Chile,2018,Chile,3
2018China,2018,China,50
